sensor_id,Address,latitude,longitude
bkp61t,"สำนักงานคณะกรรมการพัฒนาเศรษฐกิจและสังคมแห่งชาติ ริมถนนกรุงเกษม เขตป้อมปราบศัตรูพ่าย, กรุงเทพฯ",13.757321070935607,100.51462927332265
bkp64t,"สำนักงานเขตวังทองหลาง ริมถนนลาดพร้าว ซอยลาดพร้าว 95 เขตวังทองหลาง, กรุงเทพฯ",13.764190443500476,100.60582845544731
bkp66t,"ลานบางรักเลิฟลี่ พลาซ่า ริมถนนนราธิวาส เขตบางรัก, กรุงเทพฯ",13.727400554519617,100.53801819747062
bkp67t,"สำนักงานเขตสาทร แขวงทุ่งวัดดอน เขตสาทร, กรุงเทพฯ",13.708025700206113,100.52631791708973
bkp69t,"ธนาคารกรุงศรีอยุธยา สำนักงานใหญ่ ริมถนนพระราม 3 เขตยานนาวา, กรุงเทพฯ",13.677104387330278,100.5470411771613
bkp70t,"ริมถนนซอยสุขุมวิท 63 ริมถนนซอยสุขุมวิท 63 เขตวัฒนา, กรุงเทพฯ",13.730872481037077,100.58641186039013
bkp65t,"สามย่านมิตรทาวน์ ริมถนนพระรามที่ 4 หน้าสามย่านมิตรทาวน์ เขตปทุมวัน, กรุงเทพฯ",13.73376473089627,100.52837210983101
bkp71t,"สำนักงานเขตสวนหลวง ริมถนนพัฒนาการ เขตสวนหลวง, กรุงเทพฯ",13.730209478199653,100.65138593567059
bkp72t,"บิ๊กซี ซุปเปอร์เซ็นเตอร์ บางนา ริมถนนบางนา-ตราด เขตบางนา, กรุงเทพฯ",13.668583111823772,100.63554879633863
bkp74t,"สำนักงานเขตดอนเมือง เขตดอนเมือง, กรุงเทพฯ",13.9099859684027,100.59468583002074
bkp73t,"มหาวิทยาลัยเกษตรศาสตร์ ริมถนนพหลโยธิน แยก ม.เกษตรศาสตร์ เขตจตุจักร, กรุงเทพฯ",13.84809283870805,100.57247905577394
bkp80t,"สำนักงานเขตหนองจอก ริมถนนเลียบวารี เขตหนองจอก, กรุงเทพฯ",13.85555388061001,100.86251499403669
bkp79t,"สวนเฉลิมพระเกียรติ ร.9 ริมถนนสีหบุรานุกิจ เขตมีนบุรี, กรุงเทพฯ",14.018947163937622,100.53283415603872
bkp81t,"ซีคอน สแควร์ ริมถนนศรีนครินทร์ เขตประเวศ, กรุงเทพฯ",13.694313939061653,100.64830009633906
bkp78t,"โรงพยาบาลลาดกระบัง ริมถนนลาดกระบัง เขตลาดกระบัง, กรุงเทพฯ",13.722386009319615,100.7839739963395
